x,y,z
"-0,513530553","-0,666643835","-0,736748394"
"-0,486062444","-0,645148812","-0,765904267"
"-0,458487015","-0,624318628","-0,79427178"
"-0,430735933","-0,60422502","-0,8217711"
"-0,402753244","-0,584884129","-0,848362696"
"-0,374488389","-0,566292769","-0,874021727"
"-0,345890809","-0,548447754","-0,898723347"
"-0,316909944","-0,531345897","-0,922442712"
"-0,287495235","-0,514984011","-0,945154979"
"-0,257596122","-0,49935891","-0,966835302"
"-0,22717171","-0,484446536","-0,987471964"
"-0,196165789","-0,470240509","-1,007046837"
"-0,164539995","-0,456706248","-1,0255563"
"-0,13225668","-0,443807987","-1,042997367"
"-0,099278193","-0,431509962","-1,059367053"
"-0,065566883","-0,419776407","-1,074662372"
"-0,031085102","-0,408571558","-1,088880338"
"0,004202876","-0,397854906","-1,102014714"
"0,040329562","-0,387581175","-1,114066104"
"0,077332839","-0,377717032","-1,125046082"
"0,115241599","-0,368204898","-1,134945389"
"0,154084734","-0,358987196","-1,143754763"
"0,193891136","-0,350006346","-1,151464944"
"0,234689695","-0,341204772","-1,158066671"
"0,276509304","-0,332524893","-1,163550684"
"0,319376687","-0,323899245","-1,167897586"
"0,363319602","-0,315265228","-1,171097609"
"0,408363049","-0,306547331","-1,173119808"
"0,454529017","-0,297656206","-1,173916499"
"0,501839497","-0,288502507","-1,173439996"
"0,550315608","-0,278993593","-1,171638267"
"0,599966612","-0,268987037","-1,168393426"
"0,650837731","-0,258470068","-1,16375919"
"0,702930969","-0,247267935","-1,157575786"
"0,756248332","-0,235205885","-1,149683437"
"0,810791824","-0,222109168","-1,139922366"
"0,866563451","-0,207803032","-1,1281328"
"0,923563995","-0,192108","-1,114149646"
"0,981781303","-0,174790653","-1,097742305"
"1,041183724","-0,155561765","-1,078606659"
"1,101714961","-0,134071798","-1,056366267"
"1,163348539","-0,110025798","-1,030711071"
"1,226003961","-0,082997004","-1,00117259"
"1,289530479","-0,052407016","-0,967097542"
"1,353777344","-0,017677435","-0,927832643"
"1,418503882","0,021902642","-0,882563363"
"1,483618119","0,06692093","-0,830632883"
"1,548627057","0,118496184","-0,770739997"
"1,612989766","0,177808862","-0,701508162"
"1,676014766","0,246102042","-0,621475736"
"1,737178352","0,324727664","-0,529076231"
"1,795486463","0,415380655","-0,422314275"
"1,849048885","0,520097659","-0,298723133"
"1,895975407","0,640915322","-0,15583607"
"1,934112095","0,779848379","0,008826621"
"1,960208703","0,938977105","0,197932454"
"1,96996988","1,119421314","0,413227808"
"1,958655682","1,323071479","0,65733504"
"1,91973508","1,547879098","0,928921855"
"1,846341838","1,789412867","1,224171112"
"1,730688059","2,041707567","1,537752013"
"1,565553075","2,29175475","1,857125788"
"1,347833545","2,519966833","2,162631526"
"1,076197758","2,705287177","2,433044418"
"0,756963989","2,822857874","2,642924096"
"0,403917304","2,85325111","2,772084307"
"0,035961681","2,782650547","2,805785274"
"-0,325742006","2,614661311","2,746977181"
"-0,661624938","2,361556312","2,607352904"
"-0,95795364","2,045912218","2,40910973"
"-1,207692868","1,693041457","2,177246926"
"-1,409884184","1,326434988","1,934945624"
"-1,567873829","0,964505325","1,700243019"
"-1,687210442","0,620165354","1,485646522"
"-1,773892258","0,300439491","1,297627286"
"-1,833856842","0,009468404","1,139787665"
"-1,871717244","-0,252569841","1,011560647"
"-1,891416634","-0,486383142","0,911370771"
"-1,896106759","-0,693847737","0,836421952"
"-1,887713363","-0,877087703","0,78322132"
"-1,867979375","-1,038065881","0,748337328"
"-1,838255713","-1,178991517","0,728021433"
"-1,799356297","-1,301127887","0,718971173"
"-1,752037458","-1,405575641","0,71797956"
"-1,697137752","-1,493400678","0,721972237"
"-1,635371491","-1,56526352","0,72778893"
"-1,567542082","-1,621567963","0,733133654"
"-1,49458789","-1,662712199","0,736053273"
"-1,417385622","-1,689212917","0,734816724"
"-1,336963703","-1,701378803","0,727492099"
"-1,254570881","-1,699607277","0,712759042"
"-1,171164193","-1,684986369","0,690651793"
"-1,087700678","-1,65860411","0,661204594"
"-1,005137372","-1,621548531","0,624451686"
"-0,92433858","-1,57495555","0,580544445"
"-0,846174912","-1,520371984","0,53025749"
"-0,771061541","-1,459278161","0,474597956"
"-0,699272335","-1,39311119","0,414594315"
"-0,631075334","-1,323296523","0,351267587"
"-0,566595092","-1,251167289","0,285636288"
"-0,50582641","-1,178072803","0,218802011"
