x,y,z
"-0,5135305531","-0,6666438352","-0,7367483943"
"-0,4860624438","-0,6451488118","-0,7659042672"
"-0,4584870154","-0,6243186277","-0,7942717802"
"-0,4307359329","-0,6042250196","-0,8217710995"
"-0,4027532438","-0,584884129","-0,8483626965"
"-0,3744883889","-0,5662927694","-0,874021727"
"-0,3458908086","-0,5484477543","-0,8987233469"
"-0,3169099437","-0,531345897","-0,9224427121"
"-0,2874952346","-0,514984011","-0,9451549785"
"-0,2575961221","-0,4993589097","-0,966835302"
"-0,2271717103","-0,4844465357","-0,9874719641"
"-0,1961657888","-0,4702405089","-1,007046837"
"-0,1645399953","-0,4567062476","-1,0255563"
"-0,1322566799","-0,4438079869","-1,042997367"
"-0,0992781926","-0,4315099618","-1,059367053"
"-0,0655668833","-0,4197764073","-1,074662372"
"-0,03108510198","-0,4085715584","-1,088880338"
"0,004202876344","-0,3978549057","-1,102014714"
"0,04032956185","-0,3875811747","-1,114066104"
"0,07733283899","-0,3777170315","-1,125046082"
"0,1152415993","-0,3682048979","-1,134945389"
"0,1540847344","-0,3589871956","-1,143754763"
"0,1938911359","-0,3500063463","-1,151464944"
"0,2346896953","-0,3412047715","-1,158066671"
"0,2765093041","-0,3325248931","-1,163550684"
"0,3193766873","-0,3238992454","-1,167897586"
"0,3633196019","-0,3152652279","-1,171097609"
"0,4083630485","-0,3065473306","-1,173119808"
"0,4545290169","-0,297656206","-1,173916499"
"0,5018394969","-0,2885025067","-1,173439996"
"0,5503156079","-0,2789935932","-1,171638267"
"0,5999666124","-0,2689870369","-1,168393426"
"0,6508377312","-0,258470068","-1,16375919"
"0,7029309694","-0,2472679347","-1,157575786"
"0,756248332","-0,2352058853","-1,149683437"
"0,8107918241","-0,2221091681","-1,139922366"
"0,8665634508","-0,2078030316","-1,1281328"
"0,9235639947","-0,1921079998","-1,114149646"
"0,9817813029","-0,1747906529","-1,097742305"
"1,041183724","-0,1555617646","-1,078606659"
"1,101714961","-0,1340717977","-1,056366267"
"1,163348539","-0,1100257978","-1,030711071"
"1,226003961","-0,08299700373","-1,00117259"
"1,289530479","-0,052407016","-0,9670975417"
"1,353777344","-0,01767743511","-0,9278326433"
"1,418503882","0,02190264191","-0,8825633628"
"1,483618119","0,06692093035","-0,8306328832"
"1,548627057","0,1184961842","-0,7707399965"
"1,612989766","0,1778088623","-0,7015081618"
"1,676014766","0,2461020417","-0,6214757356"
"1,737178352","0,3247276644","-0,5290762313"
"1,795486463","0,4153806551","-0,4223142752"
"1,849048885","0,5200976591","-0,298723133"
"1,895975407","0,6409153217","-0,1558360704"
"1,934112095","0,7798483791","0,008826621359"
"1,960208703","0,938977105","0,1979324535"
"1,96996988","1,119421314","0,4132278077"
"1,958655682","1,323071479","0,6573350398"
"1,91973508","1,547879098","0,9289218551"
"1,846341838","1,789412867","1,224171112"
"1,730688059","2,041707567","1,537752013"
"1,565553075","2,29175475","1,857125788"
"1,347833545","2,519966833","2,162631526"
"1,076197758","2,705287177","2,433044418"
"0,7569639887","2,822857874","2,642924096"
"0,403917304","2,85325111","2,772084307"
"0,0359616814","2,782650547","2,805785274"
"-0,3257420056","2,614661311","2,746977181"
"-0,6616249384","2,361556312","2,607352904"
"-0,9579536402","2,045912218","2,40910973"
"-1,207692868","1,693041457","2,177246926"
"-1,409884184","1,326434988","1,934945624"
"-1,567873829","0,9645053249","1,700243019"
"-1,687210442","0,6201653538","1,485646522"
"-1,773892258","0,3004394905","1,297627286"
"-1,833856842","0,009468404215","1,139787665"
"-1,871717244","-0,2525698413","1,011560647"
"-1,891416634","-0,4863831422","0,9113707712"
"-1,896106759","-0,6938477369","0,8364219522"
"-1,887713363","-0,8770877027","0,7832213199"
"-1,867979375","-1,038065881","0,7483373281"
"-1,838255713","-1,178991517","0,728021433"
"-1,799356297","-1,301127887","0,7189711731"
"-1,752037458","-1,405575641","0,7179795597"
"-1,697137752","-1,493400678","0,7219722366"
"-1,635371491","-1,56526352","0,7277889302"
"-1,567542082","-1,621567963","0,7331336536"
"-1,49458789","-1,662712199","0,7360532735"
"-1,417385622","-1,689212917","0,7348167243"
"-1,336963703","-1,701378803","0,7274920992"
"-1,254570881","-1,699607277","0,7127590418"
"-1,171164193","-1,684986369","0,6906517931"
"-1,087700678","-1,65860411","0,6612045941"
"-1,005137372","-1,621548531","0,624451686"
"-0,9243385804","-1,57495555","0,5805444454"
"-0,8461749124","-1,520371984","0,5302574903"
"-0,7710615405","-1,459278161","0,4745979558"
"-0,6992723352","-1,39311119","0,4145943152"
"-0,6310753343","-1,323296523","0,3512675869"
"-0,5665950919","-1,251167289","0,2856362877"
"-0,5058264104","-1,178072803","0,2188020115"
"-0,4485469069","-1,10488913","0,1515491468"
"-0,3945341988","-1,032492334","0,08466208209"
"-0,3435692179","-0,961666882","0,01885969903"
"-0,295343404","-0,8931049717","-0,04518721499"
"-0,2495296818","-0,8271661892","-0,1070689817"
"-0,2058154789","-0,7640948874","-0,1664655788"
"-0,1638899657","-0,7041323133","-0,223059615"
"-0,1234660372","-0,6474065018","-0,2766242147"
"-0,08421319618","-0,5940005407","-0,3269581392"
"-0,04591313445","-0,5438039324","-0,3740231157"
"-0,008347544018","-0,4967061795","-0,4177808715"
"0,02870188316","-0,4525967846","-0,4581931338"
"0,06541893113","-0,4113317059","-0,4952454016"
"0,1020014244","-0,3727243945","-0,5289617756"
"0,1385629203","-0,3365534083","-0,5593842435"
"0,1752101936","-0,3025945213","-0,5865562032"
"0,2120500193","-0,2706235077","-0,6105210526"
"0,249121004","-0,2404066906","-0,6312649834"
